,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
20190403,0.9969822898146228,1.0828598564488743,1.003674250503569,1.0146318123449285,1.009363285234683,1.0151738218023734,0.958275216407592,1.0092939096945757,0.9922862996078309,1.009942534011962
20190404,0.9958225861752199,1.0815971847081394,1.0036424954060157,1.0160137650512275,1.0093212002439051,1.015265984426808,0.9581167097156906,1.0136056206630977,0.9930693874570918,1.0110026475347402
20190408,0.9931678214406087,1.0823377618868557,1.002885393083582,1.0163391351293745,1.0070388024800319,1.0153313567389226,0.9588201747801613,1.0132772004995856,0.992073455433996,1.012006968321536
20190409,0.9923649134335378,1.0808509859885465,1.0024732989955338,1.0160421558506172,1.0059396166326722,1.01588146306345,0.9563181073520499,1.0136762498074572,0.9918276963019079,1.012112184122562
20190410,0.9893092355935518,1.0800173500569659,1.0029708476849777,1.016166014402448,1.0047443176382163,1.0176544521982829,0.9539180143332923,1.011163432315762,0.9916536345351724,1.0127398493414623
20190411,0.9879688901995022,1.0803012943481665,1.007284649666816,1.0140671162945258,1.0040356201035454,1.0185827058878136,0.9535257583997786,1.0116541783871777,0.9906942775008519,1.0126171795156325
20190412,0.9870709683329001,1.0777270371884793,1.0058630238015103,1.0130465947710974,1.0037381201074718,1.0174435866922946,0.9535766012070904,1.0119910789184154,0.9914057111331216,1.0122041406236206
20190415,0.9879348890726376,1.08112813760278,1.0050982984809549,1.013147498940829,1.0038411110338468,1.0180212424211617,0.9551394564982932,1.0118969091759977,0.9918287549635427,1.0118147723400375
20190416,0.9874731216494844,1.0821251235096987,1.0032922399958573,1.0184269647202169,1.003356185182033,1.0200486444745822,0.9540946701319561,1.0099174584844117,0.9919521890746962,1.0126002786635238
20190417,0.9878658326764258,1.0830765480271738,1.0022635179111097,1.0166888256378974,1.002603629200346,1.018813608704086,0.9536389763071733,1.0096582008801145,0.9918338234507063,1.0135173289814616
20190418,0.9870772735667004,1.0839028144798675,1.0013245977593412,1.0163031639558884,1.0027410933765797,1.0187632836002045,0.9533705388887757,1.0103813129515025,0.9909390407189153,1.0138415509650507
20190419,0.9849906774317417,1.0809456613790682,1.0056469367280028,1.016849335495129,1.0032339401278247,1.02012856625928,0.9531003462907329,1.007221797274364,0.9906984637653693,1.0130647808608608
